Name,RA,Dec,Vmag,SpType,B-V,Ebv,Miles,Sp_s,Melchiors
HD 157857,261.5720833333333,-10.992999999999999,7.78,O6.5II(f),0.17,,,,oui
HD 157919,261.83874999999995,-29.867030555555555,4.27,F5III-IV,0.4,,,,oui
HD 157950,261.65791666666667,-5.086580555555555,4.54,F3V,0.39,,,,oui
HD 157967,261.4767083333333,16.917580555555556,5.98,M4-5III,1.62,,,,oui
HD 158094,262.774636333333,-60.6838478333333,3.6,B8Vn,-0.08,0.03,,B8,
HD 158148,261.704700041667,20.0809776111111,5.51,B5V,-0.119,0.04,,B5,
HD 158228,261.93375,8.442030555555556,6.49,M0,1.55,,,,oui
HD 158261,261.692272791667,34.6958021944444,5.932,A0V,0.002,0.01,,A0,
HD 158352,262.206894166667,0.330625805555556,5.41,A8Vp,0.23,0.02,,A7,oui
HD 158414,261.684340666667,48.2600631388889,5.83,A4V,0.13,0.01,,A4,
HD 158427,262.960381375,-49.876145,2.836,B2Vne,-0.109,0.13,,B2,
HD 158460,261.42230775,60.0483980555556,5.645,A1Vn,0.028,0.01,,A1,
HD 158643,262.853975541667,-23.9626426666667,4.81,A0V,0.0,0.01,,A0,
HD 158899,262.6845833333333,26.11063888888889,4.41,K3.5III,1.44,,,,oui
HD 158902,263.26433333333335,-29.650838888888888,7.22,B3II,0.32,,,,oui
HD 159026,262.66749999999996,38.8822,6.43,F5.5III-IVnp,0.5,,,,oui
HD 159139,262.95657825,28.4074994722222,5.65,A1V,0.0,-0.02,,A1,
HD 159170,263.374354666667,-5.74480344444445,5.619,A5V,0.172,0.02,,A5,
HD 159176,263.677056166667,-32.5816646111111,5.68,"O6V+,,,",0.06,0.1,,O6,
HD 159181,262.6083333333333,52.30138888888889,2.81,G2Ib-IIa,0.98,,,,oui
HD 159217,263.914956541667,-46.5056838333333,4.571,A0V,-0.019,-0.01,,A0,
HD 159358,263.693130958333,-11.2419980277778,5.537,B8Vn,0.012,0.12,,B8,
HD 159480,263.652892041667,9.58670002777778,5.81,A2V,0.02,-0.01,,A2,oui
HD 159541,263.044035666667,55.18424275,4.9,kA3hF0mF0(IV-V),90.0,0.06,,A6,oui
HD 159561,263.73374999999993,12.560030555555556,2.07,A5IVnn,0.15,,,,oui
HD 159834,264.0,21.0,6.1,A7IV,0.18,,,,oui
HD 159876,264.39666666666665,-15.39856111111111,3.52,A9IIIpSr:,0.27,,,,oui
HD 159968,264.08916666666664,27.56663888888889,6.41,M4III,1.49,,,,oui
HD 1601,5.128749999999999,48.96863888888889,6.47,G0,0.53,,,,oui
HD 160181,264.379561958333,24.3099907777778,5.76,A2Vn,0.14,0.09,,A2,
HD 160263,265.317669666667,-46.9218293888889,5.783,A0V,-0.015,-0.01,,A0,
HD 160269A,263.75624999999997,61.8678,5.28,G0IV-V,0.65,,,,oui
HD 160346,264.8204166666666,3.55525,6.53,K3-V,0.97,,,,oui
HD 160365,264.74125,13.32925,6.12,F6III,0.55,,,,oui
HD 160430,265.2079583333333,-23.836138888888886,8.74,B2II,0.19,,,,oui
HD 16046 ,38.4612652083333,-28.2323445277778,4.957,"B9,5V",-0.051,0.02,,"B9,5",
HD 1606  ,5.10167333333333,30.9356127777778,5.871,B7V,-0.101,0.03,,B7,
HD 16066,39.596666666666664,68.0613,7.67,F2II,0.37,,,,oui
HD 160762,264.86625,46.00633055555556,3.8,B3IV,-0.17,,,,oui
HD 160922,264.23791666666665,68.75796944444444,4.8,F4V,90.0,,,,oui
HD 160928,266.175041875,-42.7293020833333,5.881,"A1V+,,,",0.144,0.12,,A1,
HD 161056,265.94583333333327,-7.079611111111111,6.32,B3II/III,0.36,,,,oui
HD 161096,265.8683333333333,4.567311111111111,2.75,K2IIICN0.5,1.18,,,,oui
HD 161149,265.8416666666666,14.295169444444443,6.21,F5III,0.43,,,,oui
HD 161196,265.75541666666663,29.652919444444443,7.22,M1II,1.45,,,,oui
HD 161327,266.5065833333333,-26.972299999999997,7.44,A0Iab/b,0.6,,,,oui
HD 161592,266.89,-27.830780555555556,4.54,F7II,0.8,,,,oui
HD 16160,39.02041666666666,6.88686111111111,5.8,K3V,90.0,,,,oui
HD 161693,265.996569666667,53.8017149166667,5.76,A2V,0.01,-0.04,,A2,
HD 161695,266.4925,31.5046944444444,6.246,A0Ib,,0.01,s0645,A0,
HD 161701,266.903248333333,-14.7258263055556,5.934,B9V,0.008,0.08,,B9,
HD 161797,266.61458333333326,27.720669444444443,3.42,G5IV,0.75,,,,oui
HD 161817,266.6691666666666,25.74913888888889,6.97,sdA2,0.16,,,,oui
HD 161817,266.743875,25.7491111111111,6.988,A2 VI (HB),,0.05,s0647,A2,
HD 161833,266.783527916667,17.6970136944444,5.61,A1V,0.03,0.01,,A1,
HD 161840,267.293654833333,-31.7032066111111,4.806,B8V,-0.042,0.07,,B8,
HD 161868,266.973165541667,2.70727777777778,3.75,A1VnkA0mA0,0.05,0.05,,A0,oui
HD 162076,267.1033333333333,20.565450000000002,5.69,G5IV,0.96,,,,oui
HD 162374,268.056918541667,-34.7991973611111,5.88,B6V,-0.11,0.03,,B6,
HD 16246,39.25208333333333,24.647219444444445,6.48,F5V,0.38,,,,oui
HD 162570,267.70166666666665,22.316330555555556,6.13,A9V,0.24,,,,oui
HD 162579,267.267850083333,50.7810730277778,5.02,A2V,0.02,-0.03,,A2,
HD 162724,268.478221333333,-34.7527181666667,5.96,"B9V+,,,",-0.01,0.06,,B9,
HD 162978,268.72499999999997,-24.887080555555556,6.2,O8II((f)),0.04,,,,oui
HD 16327,39.57416666666666,37.72671944444445,6.19,F6III,0.47,,,,oui
HD 163336,269.07931375,-15.8125193611111,5.928,A0V,0.047,0.06,,A0,
HD 163428,269.28125,-23.93925,6.65,K5Ib,1.95,,,,oui
HD 163588,268.3820833333333,56.872638888888886,3.75,K2III,1.18,,,,oui
HD 163624,269.267967333333,0.066668527777778,5.955,A3V,0.117,0.04,,A3,
HD 163770,269.0633333333333,37.25053055555556,3.88,K1IIaCN2,1.35,,,,oui
HD 163840,269.3095833333333,23.99588888888889,6.32,G2V+K2V,0.64,,,,oui
HD 163917,269.75666666666666,-9.77363888888889,3.34,G9IIIa,0.99,,,,oui
HD 163955,269.948146166667,-23.8161354444444,4.72,A0,-0.03,0.05,,B9,oui
HD 163993,269.44124999999997,29.24788888888889,3.7,G8.5III,0.94,,,,oui
HD 164058,269.15166666666664,51.48888888888889,2.23,K5III,1.53,,,,oui
HD 164136,269.6254166666666,30.189280555555555,4.41,F2II,0.39,,,,oui
HD 164259,270.1208333333333,-3.690280555555556,4.62,F2V,0.37,,,,oui
HD 164284,270.065826041667,4.36861563888889,4.784,B2Ve,-0.1,0.14,,B2,
HD 16429,40.18708333333333,61.28225,7.67,O9.5III+F4V,0.62,,,,oui
HD 16432 ,39.7041427083333,21.961406,5.454,A7V,0.155,-0.05,,A7,
HD 164353,270.1613333333333,2.931561111111111,3.93,B5I,0.03,,,,oui
HD 164359,270.4129166666666,-22.131700000000002,8.67,B1II,0.22,,,,oui
HD 16440,40.461666666666666,68.4696388888889,7.97,B5III,0.59,,,,oui
HD 164438,270.46783333333326,-19.106130555555556,8.76,O9.2IV,0.13,,,,oui
HD 164492,270.598125,-23.030830555555553,6.8,O7.5Vz,0.69,,,,oui
HD 164507,270.2387499999999,15.09355,6.28,G5IV,0.73,,,,oui
HD 164536,270.66091666666665,-24.255388888888888,7.4,O7.5V(n)z,-0.03,,,,oui
HD 164577,270.4383285,1.30507708333333,4.439,A2Vn,0.034,-0.02,,A2,
HD 164614,270.15166666666664,33.2137,6.0,K6III,1.53,,,,oui
HD 164637,270.7570833333333,-22.7185,6.72,B0Ib/II,-0.07,,,,oui
HD 164668,270.3745833333333,21.595138888888886,5.1,G5III,0.89,,,,oui
HD 164669,270.37499999999994,21.594719444444443,4.9,A5IIIn,90.0,,,,oui
HD 164765,270.7704166666667,-8.18,5.27,F2IV,0.43,,,,oui
HD 164765J,270.7704166666667,-8.180361111111111,4.79,F3IV,0.38,,,,oui
HD 164794,270.968519416667,-24.3607296944444,5.97,O4V((f))z,0.0,0.04,,O4,oui
HD 164816,270.9869583333333,-24.312561111111112,6.99,O9.5V+B0V,0.07,,,,oui
HD 164852,270.5958333333333,20.83363888888889,5.25,B3IV,-0.11,,,,oui
HD 164863,271.05266666666665,-22.50096111111111,7.22,OB+,-0.05,,,,oui
HD 165052,271.29395833333325,-24.398569444444444,6.87,O5.5:Vz+O8:V,0.11,,,,oui
HD 165189,271.707083333333,-43.4225,5.7,A5V,0.29,0.14,,A5,
HD 165190,271.707888,-43.4252212222222,4.94,A5V,0.23,0.08,,A5,
HD 165319,271.49499999999995,-14.19806111111111,8.04,O9.7Ib,0.59,,,,oui
HD 165341,271.3637499999999,2.500111111111111,4.03,K0-V,0.86,,,,oui
HD 165341A,271.3641666666666,2.499811111111111,4.3,K0V,90.0,,,,oui
HD 165341B,271.3641666666666,2.499,6.07,K4V,1.19,,,,oui
HD 165435,271.25749999999994,22.914299999999997,7.36,F3II,0.43,,,,oui
HD 165438,271.56329166666666,-4.75125,5.74,K1IV,0.99,,,,oui
HD 165473,271.24583333333334,29.081,7.03,K0II,1.05,,,,oui
HD 165516,271.79729166666664,-21.44393888888889,6.33,B1/2Ib,0.12,,,,oui
HD 16555 ,39.3515540416667,-52.5430793055556,5.304,A6V,0.257,0.09,,A6,
HD 165777,271.84166666666664,9.563330555555556,3.73,A5V,0.12,,,,oui
HD 1658,5.3424999999999985,67.00541944444444,8.82,B8.5V,90.0,,,,oui
HD 16580,40.07708333333333,29.796419444444446,7.47,A0II,0.02,,,,oui
HD 16582,39.87083333333332,0.3285,4.07,B2IV,-0.22,,,,oui
HD 165908,271.75624999999997,30.56213888888889,5.07,F7VgF7mF5,0.52,,,,oui
HD 166,1.653333333333333,29.0215,6.1,G8,90.0,,,,oui
HD 166014,271.885628041667,28.7624910833333,3.83,B9.5III,-0.02,0.05,,"B9,5",oui
HD 166045,271.95605,6.06781388888889,5.87,A3V,0.11,0.03,,A3,
HD 166046,271.9558125,6.09684444444444,5.9,A3V,0.14,0.06,,A3,
HD 166103,272.4308333333333,-13.93443888888889,6.38,K1II,1.41,,,,oui
HD 166182,272.1895833333333,20.81456111111111,4.35,B2IV,-0.17,,,,oui
HD 16620,39.890833333333326,-11.872169444444445,4.87,F5V,0.46,,,,oui
HD 166205,263.054152958333,86.5864606666667,4.348,A1Vn,0.034,0.01,,A1,
HD 166229,272.00916666666666,36.40125,5.5,K2III,90.0,,,,oui
HD 166230,272.2204166666666,20.045219444444445,5.1,A8III,0.16,,,,oui
HD 16628 ,40.1711484583333,27.0609455555556,5.298,A3V,0.076,0.0,,A3,
HD 166546,272.98791666666665,-20.423375,7.22,O9.5IV,0.04,,,,oui
HD 166620,272.4058333333333,38.45778055555556,6.4,K2V,0.87,,,,oui
HD 16682,40.377500000000005,34.51611111111111,7.91,M5III,1.49,,,,oui
HD 166865,270.01458333333335,80.00083055555555,5.94,F7,0.51,,,,oui
HD 166937,273.4408333333333,-21.058830555555556,3.85,B8Iab(e),0.22,,,,oui
HD 166988,272.938004625,33.44705825,5.97,A3V,0.04,-0.04,,A3,
HD 1671,5.280416666666666,37.968611111111116,5.18,F5IV-V,0.42,,,,oui
HD 16718,40.78875,58.88945,7.59,A0Vs,0.12,,,,oui
HD 16739,40.562083333333334,40.19393888888889,4.92,F9V,0.59,,,,oui
HD 167468,275.901867625,-75.0442763888889,5.465,A0V,0.04,0.05,,A0,
HD 16765,40.30833333333334,-0.6956694444444445,5.71,F7V,0.52,,,,oui
HD 16769,41.20708333333333,67.82463888888888,5.95,A5III,0.11,,,,oui
HD 167768,274.22124999999994,-3.007388888888889,6.0,G8III,0.89,,,,oui
HD 167771,274.36899999999997,-18.463449999999998,6.54,O7III((f))+O8III,0.11,,,,oui
HD 16780,40.75791666666666,48.26525,6.28,G5II,1.15,,,,oui
HD 167818,274.51329166666665,-27.04263888888889,4.63,K3II,1.64,,,,oui
HD 167944,274.24791666666664,12.0677,7.24,F8III,0.68,,,,oui
HD 167965,273.91166666666663,42.159330555555556,5.56,B7IV,-0.12,,,,oui
HD 167971,274.5245833333333,-12.242580555555556,7.5,O8Iaf(n)+O4/5,0.77,,,,oui
HD 168009,273.88541666666663,45.209300000000006,6.3,G1V,0.63,,,,oui
HD 168080,274.6954166666667,-18.17218888888889,7.61,B1Ib/II,0.07,,,,oui
HD 16811 ,40.5914158333333,20.0114614444444,5.74,A0V,-0.03,-0.02,,A0,
HD 168137,274.7341666666666,-13.80863888888889,8.94,O8Vz,0.42,,,,oui
HD 168245,274.7470833333333,-4.105469444444444,7.6,G8IV,1.1,,,,oui
HD 168393,274.9670833333333,-11.287561111111112,7.42,F5V,0.5,,,,oui
HD 168443,275.01624999999996,-9.595719444444445,6.92,G6V,0.7,,,,oui
HD 168454,275.2483333333333,-29.82811111111111,2.67,K2.5IIIaCN0.5,1.4,,,,oui
HD 1685  ,5.16265341666667,-69.6249116944444,5.498,B9V,-0.039,0.03,,B9,
HD 168723,275.3275,-2.8988305555555556,3.25,K0III-IV,0.94,,,,oui
HD 168812,275.10541666666666,28.983530555555557,6.61,BpHg,-0.11,,,,oui
HD 168905,276.076002625,-44.1102550277778,5.223,"B2,5Vn",-0.161,0.08,,"B2,5",
HD 168914,275.254250333333,28.8699525833333,5.129,A7V,0.194,-0.01,,A7,
HD 16895,41.05,49.22843888888889,4.11,F8V,0.51,,,,oui
HD 169027,274.245,68.7413888888889,6.779,A0,,0.03,s0671,A0,
HD 169033,275.800677166667,-12.0147519166667,5.705,B5V,0.006,0.17,,B5,
HD 16908 ,40.8629660416667,27.7071453611111,4.67,B3V,-0.13,0.08,,B3,oui
HD 169111,275.647160541667,12.0296811666667,5.98,A2V,0.05,0.0,,A2,
HD 169305,275.38624999999996,49.12158055555555,5.05,M2III,1.66,,,,oui
HD 169414,275.9245833333333,21.76975,3.84,K2IIIab,1.18,,,,oui
HD 169454,276.31333333333333,-13.978419444444445,6.71,B1Ia,0.9,,,,oui
HD 169657,276.67379166666666,-23.43565,7.9,B5II,0.1,,,,oui
HD 169673,276.59874999999994,-15.63018888888889,8.85,B1Ib,0.18,,,,oui
HD 169916,276.99249999999995,-25.42168888888889,2.81,K1IIIb,1.04,,,,oui
HD 169931,276.71999999999997,3.9136694444444444,7.93,M5/6III,1.52,,,,oui
HD 169981,276.49499999999995,29.828919444444445,5.83,A2IV,0.07,,,,oui
HD 17005,40.71041666666667,-28.151330555555553,6.79,G0II,0.79,,,,oui
HD 170073,275.977526708333,58.8007346111111,5.034,A1V,0.065,0.05,,A1,
HD 170153,275.25,72.75,3.58,F7V,0.49,,,,oui
HD 17036 ,41.1373882083333,15.3118634722222,5.776,B9Vn,-0.025,0.05,,B9,
HD 170479,277.770185208333,-32.9891117222222,5.391,A5V,0.177,0.03,,A5,
HD 170642,278.088880833333,-39.7040006944444,5.162,A3Vn,0.084,0.0,,A3,
HD 170650,277.39874999999995,23.86618888888889,5.86,B6IV,-0.1,,,,oui
HD 170693,276.49625000000003,65.56346944444444,4.82,K1.5IIIFe-1,1.18,,,,oui
HD 170740,277.857056875,-10.7958362222222,5.762,B2V,0.17,0.41,,B2,
HD 17081,41.03041666666666,-13.858688888888889,4.24,B7IV,-0.12,,,,oui
HD 17086,41.79041666666666,60.570280555555556,6.53,A5+II,0.51,,,,oui
HD 170868,278.346397291667,-38.7259863611111,5.601,B9V,-0.062,0.01,,B9,
HD 170878,277.768538083333,16.9285567222222,5.76,A2V,0.05,0.0,,A2,
HD 170920,277.98749999999995,-1.0029694444444444,5.94,A5IV/V,0.14,,,,oui
HD 17094,41.23541666666666,10.114138888888888,4.3,A9IIIp,90.0,,,,oui
HD 171012,278.29208333333327,-18.36838888888889,6.99,B0.5Ia,0.5,,,,oui
HD 171301,278.2083333333333,30.554219444444445,5.47,B8IV,-0.09,,,,oui
HD 171352,278.93162499999994,-29.937530555555554,6.91,K1II,1.21,,,,oui
HD 171443,278.8016666666666,-8.244080555555554,3.83,K3III,1.34,,,,oui
HD 171623,278.8025125,18.2034111111111,5.79,A0Vn,-0.01,0.0,,A0,
HD 171802,279.11579166666667,9.1225,5.39,F5III,0.37,,,,oui
HD 171834,279.16291666666666,6.671811111111111,5.42,F3V,0.36,,,,oui
HD 171856,279.4767083333333,-21.397719444444444,5.93,A5IV,0.18,,,,oui
HD 171874,279.1525,12.98761111111111,7.35,F6II,0.49,,,,oui
HD 171978,279.399842041667,-0.309472416666667,5.773,"A1V+,,,",0.059,0.04,,A1,
HD 172046,279.4520833333333,5.883469444444444,6.63,B8V,-0.04,,,,oui
HD 172051,279.7224999999999,-21.051869444444446,5.86,G6V,0.66,,,,oui
HD 172088,279.59916666666663,-3.1936388888888887,6.48,F8V,0.55,,,,oui
HD 172167,279.234734791667,38.7836889444444,0.03,A0V,0.0,0.01,,A0,
HD 17240,41.76499999999999,35.55466944444444,6.25,A9V,0.34,,,,oui
HD 172424,279.9675,7.356938888888888,6.26,G8III,0.96,,,,oui
HD 172522,280.0941666666667,8.868438888888889,6.92,A2III,0.22,,,,oui
HD 172555,281.362085375,-64.8712610555556,4.779,A7V,0.191,-0.01,,A7,
HD 172728,279.389583708333,62.5265881666667,5.74,A0V,-0.05,-0.04,,A0,
HD 172744,280.36875,12.23655,6.82,K2II,1.01,,,,oui
HD 172777,280.945591041667,-38.32344125,5.12,A2Vn,0.074,0.02,,A2,
HD 172831,280.6504166666666,-7.073669444444445,6.12,K1III,1.02,,,,oui
HD 172910,281.080662541667,-35.6419873888889,4.843,"B2,5V",-0.164,0.08,,"B2,5",
HD 173168,282.15793925,-65.0776791388889,5.715,A8V,0.24,-0.03,,A8,
HD 173300,281.41416666666663,-26.990780555555556,3.14,B8III,-0.09,,,,oui
HD 173370,281.208075833333,2.06003777777778,5.0,B9V,-0.06,0.02,,B9,oui
HD 173416,280.9004166666666,36.55661111111111,6.04,G8,1.06,,,,oui
HD 17346,42.30958333333332,57.03325,6.84,K0III,1.25,,,,oui
HD 173495,281.368184208333,5.50012336111111,5.83,"A1V+,,,",0.04,0.02,,A1,
HD 173526,281.23625,22.56218888888889,7.5,G4II,1.0,,,,oui
HD 17361,41.977083333333326,29.247111111111114,4.51,K0.5IIIb,1.12,,,,oui
HD 173648,281.2455,37.6051111111111,4.338,Am,,0.01,s0693,Am,
HD 173654,281.619144583333,-0.961691416666667,7.55,A0V,90.0,0.08,,A2,oui
HD 173667,281.4154166666666,20.546311111111113,4.19,F5.5IV-V,0.46,,,,oui
HD 1737,5.379999999999999,-28.981469444444443,5.17,K0III,1.0,,,,oui
HD 173715,282.21037475,-43.6800441944444,5.458,A3V,0.124,0.04,,A3,
HD 17378,42.4949166666667,57.0843055555556,6.281,A5Ia,,0.78,s0102,A5,
HD 173880,281.75541666666663,18.181530555555558,4.36,A5III,0.13,,,,oui
HD 173936,281.5541666666666,41.44181111111111,6.05,B7III,-0.12,,,,oui
HD 173949,281.07625,61.048138888888886,6.13,G7IV,1.07,,,,oui
HD 174005,282.1645833333333,-6.004311111111111,6.49,A7VkA2mA2_lB,0.22,,,,oui
HD 174237,281.679535375,52.9879618611111,5.9,"B2,5Ve",-0.1,0.14,,"B2,5",
HD 174262,282.222442333333,19.3287217777778,5.894,A1V,0.02,0.0,,A1,
HD 174298,282.2317083333333,24.055861111111113,6.54,B1.5IV,-0.08,,,,oui
HD 174467,282.8329166666667,-17.154280555555555,6.88,A3II,0.24,,,,oui
HD 174481,282.0670833333333,48.76756111111111,6.12,A7III,0.21,,,,oui
HD 174567,282.493083333333,31.6293888888889,6.634,A0Vs,,0.07,s0698,A0,
HD 174585,282.44124999999997,32.81283055555555,5.91,B3IV,-0.16,,,,oui
HD 174589,282.8425,-3.3178611111111107,6.06,F0IV,0.29,,,,oui
HD 174602,282.470488375,32.5510598055556,5.233,A3V,0.094,0.01,,A3,
HD 174638,282.519980208333,33.3626694444444,3.42,B8.5Ib-II,0.0,0.13,,B7,oui
HD 17471 ,42.191268375,25.1880644444444,5.89,A0V,-0.04,-0.03,,A0,
HD 174947,283.5004166666666,-21.359830555555558,5.68,G8/K0II,1.22,,,,oui
HD 174959,282.90208333333334,36.53908055555555,6.08,B6IV,-0.1,,,,oui
HD 174974,283.54249999999996,-22.744830555555556,4.84,K1II,1.41,,,,oui
HD 17505,42.78333333333333,60.41775,7.07,O6.5III((f))n+O8V,0.4,,,,oui
HD 17506,42.674166666666665,55.8955,3.79,K3-Ib-IIa,1.69,,,,oui
HD 175156,283.6795416666666,-15.603030555555556,5.09,B3II,0.12,,,,oui
HD 175191,283.816360416667,-26.2967241111111,2.07,B2V,-0.14,0.11,,B2,oui
HD 175286,281.592651291667,75.43396325,5.368,A1Vn,0.05,0.03,,A1,
HD 175309,283.6208333333333,10.632530555555556,7.44,M4III,1.57,,,,oui
HD 175426,283.431496291667,36.97172,5.569,"B2,5V",-0.136,0.1,,"B2,5",
HD 17543 ,42.3231635,17.4643102222222,5.3,B6V,90.0,0.05,,B6,oui
HD 175510,284.61569625,-52.9386283888889,4.84,A0V,-0.044,-0.03,,A0,
HD 175588,283.6262499999999,36.89861111111111,4.3,M4II,1.67,,,,oui
HD 175638,284.054922916667,4.20358677777778,4.57,A5V,0.17,0.02,,A5,oui
HD 17573 ,42.4959718333333,27.2605072222222,3.59,B8Vn,-0.1,0.02,,B8,oui
HD 175775,284.43249999999995,-21.106669444444446,3.51,G8/K0II/III,1.18,,,,oui
HD 175824,283.69624999999996,48.85938888888889,5.84,F3III,0.44,,,,oui
HD 175865,283.83375,43.946080555555554,4.0,M5III,1.59,,,,oui
HD 175892,284.743541666667,-22.5295,6.151,A1V,,0.02,s0708,A1,
HD 17605,42.64708333333333,36.94833055555555,6.44,G0,0.61,,,,oui
HD 176162,284.849175083333,-12.84051775,5.516,B4V,-0.038,0.14,,B4,
HD 176232,284.744791666667,13.9066111111111,5.913,A4p(EuCrSr),,0.06,s0710,A4,
HD 176318,284.5079166666666,38.26618888888889,5.88,B7IV,-0.1,,,,oui
HD 176411,284.90583333333336,15.068311111111111,4.02,K1-IIICN0.5,1.08,,,,oui
HD 176437,284.7358333333333,32.68956111111111,3.25,B9III,-0.05,,,,oui
HD 1766,5.468749999999999,-23.007638888888888,7.6,G1V,0.54,,,,oui
HD 176630,285.3637499999999,-6.192580555555556,7.65,B5II,0.12,,,,oui
HD 176638,285.778654083333,-42.0951071666667,4.734,"B9,5V",-0.018,0.05,,"B9,5",
HD 176670,285.00333333333333,32.14553055555555,4.93,K2.5III:Ba0.5,1.47,,,,oui
HD 176678,285.4199583333333,-5.739111111111111,4.02,K1III,1.09,,,,oui
HD 176687,285.65291666666667,-29.88006111111111,2.58,A2.5Va,0.1,,,,oui
HD 176848,285.4495833333333,11.455188888888888,7.74,G6IV,1.07,,,,oui
HD 176871,285.322319625,26.2914108611111,5.683,B5V,-0.085,0.08,,B5,
HD 176984,285.727078083333,-3.69898780555556,5.42,A1V,0.0,-0.02,,A1,
HD 176986,285.7745833333333,-11.043919444444445,8.45,K2.5V,0.94,,,,oui
HD 177003,285.0570833333333,50.53346944444444,5.38,B2.5IV,-0.17,,,,oui
HD 177012,285.8420833333333,-12.70956111111111,7.69,B8IV,0.1,,,,oui
HD 17709,42.87833333333333,35.059749999999994,4.53,K5.5III,1.57,,,,oui
HD 177178,285.884384,1.81876805555556,5.826,A4V,0.176,0.06,,A4,
HD 177196,285.359875958333,46.9348103333333,5.01,A6IV,0.18,-0.02,,A7,oui
HD 177241,286.1708333333333,-21.741500000000002,3.77,G9IIIb,1.0,,,,oui
HD 17729 ,42.475758625,-27.9419826111111,5.389,A0V,0.011,0.02,,A0,
HD 177406,286.731696041667,-48.2991437777778,5.957,A0V,-0.009,0.0,,A0,
HD 177423,286.31199999999995,-16.86683888888889,7.97,B5II,-0.02,,,,oui
HD 177490,286.0945416666666,12.997,7.92,A0II,0.25,,,,oui
HD 17769 ,42.873275375,15.0820694444444,5.514,B7V,-0.097,0.03,,B7,
HD 177716,286.735,-27.670419444444445,3.31,K1.5IIIb,1.2,,,,oui
HD 177724,286.352533416667,13.8634772777778,2.99,A0IV-Vnn,0.01,0.04,,A0,oui
HD 177756,286.56224575,-4.88255575,3.43,B8.5V,-0.09,-0.01,,B9,oui
HD 17791,42.834999999999994,2.172811111111111,6.95,M1III,1.73,,,,oui
HD 178125,286.7441666666666,11.071219444444445,5.09,B8III,-0.07,,,,oui
HD 178175,287.069594583333,-19.2902868888889,5.49,B2Ve,-0.06,0.15,,B2,oui
HD 178207,286.229857916667,53.3966563055556,5.38,A0Vn,-0.01,0.0,,A0,
HD 178233,286.65708333333333,28.628580555555555,5.55,F0III,0.29,,,,oui
HD 178322,287.490220166667,-41.8922580277778,5.853,"B6V+,,,",-0.079,0.06,,B6,
HD 178428,286.98879166666666,16.85338888888889,6.1,G4.5V,90.0,,,,oui
HD 178475,286.8254166666666,36.10016944444445,5.25,B6IV,-0.12,,,,oui
HD 17848 ,42.256195875,-62.8065215,5.263,A2V,0.104,0.05,,A2,
HD 178540,287.00833333333327,24.726030555555553,6.6,B5,-0.03,,,,oui
HD 17879,43.564583333333324,52.76246944444444,3.96,G8III+A7V,0.75,,,,oui
HD 17904,43.427499999999995,38.337500000000006,5.34,F6V,0.4,,,,oui
HD 17918,43.29874999999999,16.483469444444445,6.3,F5III,0.44,,,,oui
HD 17925,43.13374999999999,-12.769719444444446,6.05,K1V,0.86,,,,oui
HD 179366,289.30096675,-66.6610539166667,5.516,"A5V+,,,",0.17,0.02,,A5,
HD 179406,288.169635041667,-7.93951694444444,5.362,B3V,0.088,0.29,,B3,
HD 17948,43.987083333333324,61.521138888888885,5.58,F5V,0.42,,,,oui
HD 179985,288.32749999999993,34.480580555555555,7.68,F7III,0.54,,,,oui
HD 180163,288.4395833333333,39.14596944444445,4.4,B2.5IV,-0.15,,,,oui
HD 180163,288.492104166667,39.146,4.397,B2.5IV,,0.07,s0715,B2,
HD 180317,288.822338958333,21.2321179444444,5.654,A4V,0.114,-0.01,,A4,
HD 180482,289.1291666666666,4.834811111111111,5.57,A1V,0.08,,,,oui
HD 180554,289.0541666666666,21.390419444444444,4.77,B4IV,-0.05,,,,oui
HD 180555,289.111614333333,14.5446176111111,5.63,"B9,5V",-0.02,0.05,,"B9,5",
HD 180656,288.5854166666666,55.94038888888888,6.73,K1II,1.06,,,,oui
HD 180711,288.13874999999996,67.66153055555556,3.07,G9III,1.0,,,,oui
HD 180777,287.291163708333,76.5605011666667,5.11,A7V,0.29,0.08,,A7,oui
HD 180809,289.0920833333333,38.133719444444445,4.38,K0II,1.26,,,,oui
HD 180885,289.916637416667,-35.4214532777778,5.577,B3V,-0.116,0.08,,B3,
HD 180968,289.4316666666667,23.025530555555555,5.43,B0.5IV,0.0,,,,oui
HD 181276,289.27583333333337,53.36846944444444,3.76,G9III,0.97,,,,oui
HD 181333,289.91374999999994,12.374669444444445,5.52,F0III,0.25,,,,oui
HD 181454,290.65957375,-44.4589571666667,3.954,B9V,-0.085,-0.02,,B9,
HD 181470,289.992583333333,37.4453055555555,6.246,A0III,,0.05,s0718,A0,
HD 181577,290.41833333333335,-17.847188888888887,3.93,A9IV,0.22,,,,oui
HD 18175,43.80833333333333,0.43678055555555556,7.04,K0III,1.14,,,,oui
HD 181751,290.22624999999994,22.198780555555555,6.55,B8,-0.08,,,,oui
HD 181869,290.971561791667,-40.61593625,3.95,B8V,-0.083,0.03,,B8,
HD 18191,43.95208333333333,18.33163888888889,5.93,M6-III:,1.51,,,,oui
HD 18216,43.88166666666666,2.0182805555555556,6.58,B9V,-0.04,,,,oui
HD 182255,290.71208333333334,26.262419444444443,5.19,B6III,-0.13,,,,oui
