Name,RA,Dec,Vmag,SpType,B-V,Ebv,Miles,Sp_s,Melchiors
HD 100889,174.170472291667,-9.80224755555556,4.682,"B9,5Vn",-0.056,0.01,,"B9,5",
HD 100920,174.23708333333332,-0.82375,4.3,G9IIIbFe-0.5,1.01,,,,oui
HD 101153,174.61499999999998,8.13431111111111,5.36,M4.5:III,1.57,,,,oui
HD 101259,174.75166666666667,-24.721080555555552,6.42,G6/8V,0.82,,,,oui
HD 1013,3.650833333333333,20.206688888888888,4.8,M2+III,1.58,,,,oui
HD 101431,175.053290416667,-34.74465925,4.693,B9V,-0.07,0.0,,B9,
HD 10144 ,24.4285228333333,-57.2367528055556,0.5,B6Vep,-0.2,-0.06,,B6,
HD 101501,175.26249999999996,34.201638888888894,5.34,G8V,0.74,,,,oui
HD 101606,175.39291666666665,31.74606111111111,5.75,F5,0.41,,,,oui
HD 101615,175.332460708333,-43.0956663055556,5.531,A0V,0.041,0.05,,A0,
HD 101695,175.5145833333333,-20.294169444444446,6.2,G8IV,0.96,,,,oui
HD 101841,175.84541666666667,28.055219444444447,7.7,F2IV,0.3,,,,oui
HD 10205,25.144999999999996,40.577061111111114,4.94,B5III,-0.09,,,,oui
HD 102124,176.321001125,8.25811527777778,4.84,A4V,0.16,0.04,,A4,oui
HD 102224,176.5125,47.77941944444444,3.72,K0.5IIIb:,1.18,,,,oui
HD 102249,176.4017465,-66.7287622222222,3.634,A7V,0.162,-0.04,,A7,
HD 102272,176.59791666666666,14.124,8.71,K2,1.0,,,,oui
HD 10250 ,25.7327673333333,70.6225248333333,5.177,B9V,-0.022,0.05,,B9,
HD 102509,176.996399791667,20.2189305555556,4.537,"A7V+,,,",0.516,0.32,,A7,
HD 102510,176.97875,8.245888888888889,5.32,A1V,0.03,,,,oui
HD 102582,177.11041666666665,-23.090580555555555,7.44,G6IV,0.77,,,,oui
HD 102590A,177.16,14.284280555555556,5.94,A8V,0.25,,,,oui
HD 10262,25.145416666666662,8.760780555555556,6.34,F2,0.39,,,,oui
HD 102620,177.18791666666667,-26.749780555555557,5.11,M4+III,1.6,,,,oui
HD 102647,177.26499999999996,14.572061111111111,2.13,A3Va,0.09,,,,oui
HD 102713,177.42374999999998,34.93175,5.72,F7IV,0.46,,,,oui
HD 102776,177.421085833333,-63.7884791388889,4.313,B3Vne,-0.139,0.06,,B3,
HD 102857,177.65125,43.65893888888889,7.9,G6III,0.76,,,,oui
HD 102870,177.67375,1.7647194444444445,3.6,F9V,0.55,,,,oui
HD 10307,25.446249999999996,42.61336111111111,4.96,G1V,0.62,,,,oui
HD 103079,177.96344125,-65.2059070277778,4.929,B4V,-0.126,0.05,,B4,
HD 10308,25.326666666666664,25.745719444444447,6.2,F7V,0.44,,,,oui
